pair_id,modality,status,explore_replay_path_field,replay_path_resolved,replay_exists,result_json
shape_niceness_med_00,multimodal,completed,shape_niceness_med_00.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_00.explore_replay.pkl,True,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_00.json
shape_niceness_med_01,multimodal,completed,shape_niceness_med_01.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_01.explore_replay.pkl,True,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_01.json
shape_niceness_med_02,multimodal,completed,shape_niceness_med_02.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_02.explore_replay.pkl,True,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_02.json
shape_niceness_med_03,multimodal,completed,shape_niceness_med_03.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_03.explore_replay.pkl,True,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_03.json
shape_niceness_med_04,multimodal,completed,shape_niceness_med_04.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_04.explore_replay.pkl,True,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_04.json
shape_niceness_med_05,multimodal,completed,shape_niceness_med_05.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_05.explore_replay.pkl,True,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_05.json
shape_niceness_med_06,multimodal,completed,shape_niceness_med_06.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_06.explore_replay.pkl,True,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_06.json
shape_niceness_med_07,multimodal,completed,shape_niceness_med_07.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_07.explore_replay.pkl,True,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_07.json
shape_niceness_med_08,multimodal,completed,shape_niceness_med_08.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_08.explore_replay.pkl,True,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_08.json
shape_niceness_med_09,multimodal,completed,shape_niceness_med_09.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_09.explore_replay.pkl,True,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_09.json
shape_niceness_med_10,multimodal,completed,shape_niceness_med_10.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_10.explore_replay.pkl,True,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_10.json
shape_niceness_med_11,multimodal,completed,shape_niceness_med_11.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_11.explore_replay.pkl,True,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_11.json
shape_niceness_med_12,multimodal,completed,shape_niceness_med_12.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_12.explore_replay.pkl,True,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_12.json
shape_niceness_med_13,multimodal,completed,shape_niceness_med_13.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_13.explore_replay.pkl,True,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_13.json
shape_niceness_med_14,multimodal,completed,shape_niceness_med_14.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_14.explore_replay.pkl,True,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_14.json
